[2025-07-10 23:13:28] [INFO    ] discord.client: logging in using static token
[2025-07-10 23:13:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'Hnivel', 'primary_guild': None, 'mfa_enabled': False, 'id': '1392890766669648033', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '4626', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '1e0eb1bebc6160faa04c78275bf0d91c', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1127944113715691530'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['singapore', 'hongkong', 'india', 'japan', 'dubai'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1392890766669648033', 'flags': 557056}, '_trace': ['["gateway-prd-us-east1-b-nbxt",{"micros":513067,"calls":["id_created",{"micros":630,"calls":[]},"session_lookup_time",{"micros":366,"calls":[]},"session_lookup_finished",{"micros":16,"calls":[]},"discord-sessions-prd-2-169",{"micros":511704,"calls":["start_session",{"micros":494619,"calls":["discord-api-rpc-5758b8d864-gblgj",{"micros":395518,"calls":["get_user",{"micros":12588},"get_guilds",{"micros":7499},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":3},"authorized_ip_coro",{"micros":11},"pending_payments",{"micros":6725},"apex_experiments",{"micros":36844},"user_activities",{"micros":16},"played_application_ids",{"micros":4}]}]},"starting_guild_connect",{"micros":24,"calls":[]},"presence_started",{"micros":4755,"calls":[]},"guilds_started",{"micros":64,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":12195,"calls":[]},"connect_finished",{"micros":12200,"calls":[]},"build_ready",{"micros":18,"calls":[]},"clean_ready",{"micros":21,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-07-10 23:13:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 23:13:30] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 1e0eb1bebc6160faa04c78275bf0d91c).
[2025-07-10 23:13:30] [DEBUG   ] discord.client: Dispatching event connect
[2025-07-10 23:13:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'emojis': [], 'verification_level': 0, 'home_header': None, 'lazy': True, 'owner_configured_content_level': None, 'banner': None, 'splash': None, 'profile': None, 'nsfw_level': 0, 'default_message_notifications': 0, 'explicit_content_filter': 0, 'premium_subscription_count': 0, 'roles': [{'version': 1688993233071, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '1127944113715691530', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1750505603821, 'unicode_emoji': None, 'tags': {'bot_id': '761269120691470357'}, 'position': 1, 'permissions': '67488832', 'name': 'GitBot', 'mentionable': False, 'managed': True, 'id': '1385945696938758336', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1752161781323, 'unicode_emoji': None, 'tags': {'bot_id': '1392890766669648033'}, 'position': 1, 'permissions': '563242280021056', 'name': 'GitBot', 'mentionable': False, 'managed': True, 'id': '1392892176215572482', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'system_channel_flags': 0, 'premium_tier': 0, 'rules_channel_id': None, 'activity_instances': [], 'system_channel_id': None, 'application_id': None, 'safety_alerts_channel_id': None, 'id': '1127944113715691530', 'name': 'Hnivel', 'large': False, 'vanity_url_code': None, 'threads': [{'type': 11, 'total_message_sent': 24, 'thread_metadata': {'locked': False, 'invitable': True, 'create_timestamp': '2025-06-06T05:21:41.231000+00:00', 'auto_archive_duration': 4320, 'archived': False, 'archive_timestamp': '2025-06-06T05:21:41.231000+00:00'}, 'rate_limit_per_user': 0, 'parent_id': '1351169542826496042', 'owner_id': '699438853324537867', 'name': 'database-system-concepts', 'message_count': 23, 'member_count': 1, 'last_message_id': '1389198879387553812', 'id': '1380416335300923505', 'guild_id': '1127944113715691530', 'flags': 0}, {'type': 11, 'total_message_sent': 18, 'thread_metadata': {'locked': False, 'invitable': True, 'create_timestamp': '2025-06-16T07:38:03.874000+00:00', 'auto_archive_duration': 4320, 'archived': False, 'archive_timestamp': '2025-06-16T07:38:03.874000+00:00'}, 'rate_limit_per_user': 0, 'parent_id': '1379012226538541138', 'owner_id': '699438853324537867', 'name': 'chapter-2', 'message_count': 18, 'member_count': 1, 'last_message_id': '1388570001002201290', 'id': '1384074534449053716', 'guild_id': '1127944113715691530', 'flags': 0}, {'type': 11, 'total_message_sent': 7, 'thread_metadata': {'locked': False, 'create_timestamp': '2025-06-29T05:04:52.017000+00:00', 'auto_archive_duration': 4320, 'archived': False, 'archive_timestamp': '2025-06-29T05:04:52.017000+00:00'}, 'rate_limit_per_user': 0, 'parent_id': '1379012226538541138', 'owner_id': '699438853324537867', 'name': 'chapter-3', 'message_count': 6, 'member_count': 1, 'last_message_id': '1388901681521229845', 'id': '1388747023259402260', 'guild_id': '1127944113715691530', 'flags': 0}], 'inventory_settings': None, 'soundboard_sounds': [], 'owner_id': '699438853324537867', 'max_members': 500000, 'max_video_channel_users': 25, 'incidents_data': None, 'mfa_level': 0, 'description': '', 'preferred_locale': 'en-US', 'application_command_counts': {}, 'guild_scheduled_events': [], 'features': [], 'premium_progress_bar_enabled': False, 'stage_instances': [], 'embedded_activities': [], 'hub_type': None, 'public_updates_channel_id': None, 'voice_states': [], 'afk_timeout': 300, 'members': [{'user': {'username': 'Hnivel', 'public_flags': 0, 'primary_guild': None, 'id': '1392890766669648033', 'global_name': None, 'display_name': None, 'discriminator': '4626', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1392892176215572482'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-10T15:36:13.549002+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'nsfw': False, 'member_count': 3, 'unavailable': False, 'premium_features': None, 'max_stage_video_channel_users': 50, 'stickers': [], 'version': 1750506274597, 'presences': [], 'discovery_splash': None, 'channels': [{'version': 1752162419240, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 5, 'permission_overwrites': [], 'parent_id': '1384892613441622177', 'nsfw': False, 'name': 'clean-architecture', 'last_message_id': '1384853068411043891', 'id': '1383767803705688164', 'flags': 0}, {'version': 1752162419483, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 19, 'permission_overwrites': [], 'parent_id': '1152685628367065140', 'nsfw': False, 'name': 'philosophy', 'last_message_id': '1274744062527672483', 'id': '1272850331054899210', 'flags': 0}, {'version': 1752162419405, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 15, 'permission_overwrites': [], 'parent_id': '1152685628367065140', 'nsfw': False, 'name': 'generalphysics1', 'last_message_id': '1187026493960880210', 'id': '1152685794973204611', 'flags': 0}, {'version': 1752162419495, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 20, 'permission_overwrites': [], 'parent_id': '1152685628367065140', 'nsfw': False, 'name': 'vietnameselaw', 'last_message_id': '1272877128937115658', 'id': '1272875963465728062', 'flags': 0}, {'version': 1752162419304, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 7, 'permission_overwrites': [], 'parent_id': '1384892613441622177', 'nsfw': False, 'name': 'designing-data-intensive-applications', 'last_message_id': '1387810060759077037', 'id': '1382549601113866421', 'flags': 0}, {'version': 1750254535661, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 9, 'permission_overwrites': [], 'parent_id': '1262441812136562719', 'name': 'algorithms', 'last_pin_timestamp': '2024-07-15T16:16:25+00:00', 'last_message_id': '1271053593830752287', 'id': '1262442121013629038', 'flags': 0}, {'version': 1752162419439, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 17, 'permission_overwrites': [], 'parent_id': '1152685628367065140', 'nsfw': False, 'name': 'digitalsystems', 'last_message_id': '1169864245924597882', 'id': '1162686525335666728', 'flags': 0}, {'version': 1752162419423, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 16, 'permission_overwrites': [], 'parent_id': '1152685628367065140', 'nsfw': False, 'name': 'generalchemistry', 'last_message_id': '1247780292064837693', 'id': '1211513523314626581', 'flags': 0}, {'version': 1750505075985, 'type': 4, 'position': 0, 'permission_overwrites': [], 'parent_id': None, 'name': 'Books', 'id': '1384892613441622177', 'flags': 0}, {'version': 1752162419638, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 27, 'permission_overwrites': [], 'parent_id': '1351169502242541618', 'nsfw': False, 'name': 'database-systems', 'last_message_id': '1380416335300923505', 'id': '1351169542826496042', 'flags': 0}, {'version': 1750914827027, 'type': 0, 'topic': '', 'rate_limit_per_user': 0, 'position': 10, 'permission_overwrites': [], 'parent_id': '1262441812136562719', 'nsfw': False, 'name': 'cloud-computing', 'last_message_id': '1387807331877916722', 'id': '1348681558734671963', 'flags': 0}, {'version': 1752162419161, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': None, 'nsfw': False, 'name': 'notes', 'last_message_id': '1388421866795831356', 'id': '1165830896356708392', 'flags': 0}, {'version': 1750914834772, 'type': 4, 'position': 1, 'permission_overwrites': [], 'parent_id': None, 'name': 'Courses', 'id': '1262441812136562719', 'flags': 0}, {'version': 1752162419205, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [], 'parent_id': None, 'nsfw': False, 'name': 'tatakae', 'last_message_id': '1370396110325284895', 'id': '1365715714052194405', 'flags': 0}, {'version': 1752072336826, 'type': 4, 'position': 4, 'permission_overwrites': [], 'parent_id': None, 'name': 'University 3rd', 'id': '1351169502242541618', 'flags': 0}, {'version': 1752162419371, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 13, 'permission_overwrites': [], 'parent_id': '1152685628367065140', 'nsfw': False, 'name': 'calculus2', 'last_message_id': '1249273503056920628', 'id': '1211267849075822663', 'flags': 0}, {'version': 1752162419544, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 23, 'permission_overwrites': [], 'parent_id': '1268585972887588896', 'nsfw': False, 'name': 'mathematicalmodeling', 'last_message_id': '1320439528204406834', 'id': '1271445913503793195', 'flags': 0}, {'version': 1752162419467, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 18, 'permission_overwrites': [], 'parent_id': '1152685628367065140', 'nsfw': False, 'name': 'discretestructures', 'last_message_id': '1251020165156700210', 'id': '1215960207910371338', 'flags': 0}, {'version': 1752162419612, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 26, 'permission_overwrites': [], 'parent_id': '1268585972887588896', 'nsfw': False, 'name': 'pmfengineer', 'last_message_id': '1349769929460809772', 'id': '1348969574875533324', 'flags': 0}, {'version': 1752072329687, 'type': 4, 'position': 3, 'permission_overwrites': [], 'parent_id': None, 'name': 'University 2nd', 'id': '1268585972887588896', 'flags': 0}, {'version': 1752162419313, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 8, 'permission_overwrites': [], 'parent_id': '1384892613441622177', 'nsfw': False, 'name': 'building-microservices', 'last_message_id': '1385928676868231350', 'id': '1384905259293347942', 'flags': 0}, {'version': 1752162419188, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': None, 'nsfw': False, 'name': 'japanese', 'last_message_id': '1364225719001157714', 'id': '1321809685036142663', 'flags': 0}, {'version': 1752162419394, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 14, 'permission_overwrites': [], 'parent_id': '1152685628367065140', 'nsfw': False, 'name': 'linearalgebra', 'last_message_id': '1248889616971333715', 'id': '1213048647168823306', 'flags': 0}, {'version': 1752162419578, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 24, 'permission_overwrites': [], 'parent_id': '1268585972887588896', 'nsfw': False, 'name': 'statisticsprobability', 'last_message_id': '1309431765768601630', 'id': '1284747935954767872', 'flags': 0}, {'version': 1752162419336, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 11, 'permission_overwrites': [], 'parent_id': '1262441812136562719', 'nsfw': False, 'name': 'docker-fundamentals', 'last_message_id': '1389536154906394666', 'id': '1389512289752842280', 'flags': 0}, {'version': 1752162419595, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 25, 'permission_overwrites': [], 'parent_id': '1268585972887588896', 'nsfw': False, 'name': 'operatingsystems', 'last_message_id': '1376551500276564080', 'id': '1344268393876029440', 'flags': 0}, {'version': 1752162419221, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': None, 'nsfw': False, 'name': 'bots', 'last_message_id': '1392901040021573733', 'id': '1385948445851783209', 'flags': 0}, {'version': 1752162419530, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 22, 'permission_overwrites': [], 'parent_id': '1268585972887588896', 'nsfw': False, 'name': 'computerarchitecture', 'last_message_id': '1318121240904335381', 'id': '1268586036791869483', 'flags': 0}, {'version': 1752162419249, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 6, 'permission_overwrites': [], 'parent_id': '1384892613441622177', 'nsfw': False, 'name': 'domain-driven-design', 'last_message_id': '1381917777211953152', 'id': '1381885760629641226', 'flags': 0}, {'version': 1752072322371, 'type': 4, 'position': 2, 'permission_overwrites': [], 'parent_id': None, 'name': 'University 1st', 'id': '1152685628367065140', 'flags': 0}, {'version': 1752162419355, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 12, 'permission_overwrites': [], 'parent_id': '1152685628367065140', 'nsfw': False, 'name': 'calculus1', 'last_message_id': '1186656567442026506', 'id': '1152685733044310096', 'flags': 0}, {'version': 1752162419133, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': None, 'nsfw': False, 'name': 'general', 'last_message_id': None, 'id': '1392894871890559017', 'flags': 0}, {'version': 1752162419654, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 28, 'permission_overwrites': [], 'parent_id': '1351169502242541618', 'nsfw': False, 'name': 'computer-networks', 'last_message_id': '1388747023259402260', 'id': '1379012226538541138', 'flags': 0}, {'version': 1752162419517, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 21, 'permission_overwrites': [], 'parent_id': '1268585972887588896', 'nsfw': False, 'name': 'datastructuresalgorithms', 'last_message_id': '1318565912235868272', 'id': '1271445791621251083', 'flags': 0}], 'afk_channel_id': None, 'moderator_reporting': None, 'joined_at': '2025-07-10T15:36:13.549002+00:00', 'region': 'deprecated', 'latest_onboarding_question_id': None, 'icon': '50d7ccac1fe49f351478bbfb750f68cc'}}
[2025-07-10 23:13:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 23:13:30] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'c8990ed549f183e73cb2b7f68e27afd6', 'members': [{'user': {'username': 'hnivel', 'public_flags': 256, 'primary_guild': {'tag': 'codé', 'identity_guild_id': '960713185055375478', 'identity_enabled': True, 'badge': 'dc216d4bf2a43ba052f85d3b2b5144ef'}, 'id': '699438853324537867', 'global_name': 'Hnivel', 'display_name': 'Hnivel', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '02643c43483b22d9607632492e6dfa53'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-07-10T12:47:12.915000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'GitBot', 'public_flags': 65536, 'primary_guild': None, 'id': '761269120691470357', 'global_name': None, 'display_name': None, 'discriminator': '8618', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '16ce15aba9ea981b3129d00e317bbea1'}, 'roles': ['1385945696938758336'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-06-21T11:33:23.893664+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'Hnivel', 'public_flags': 0, 'primary_guild': None, 'id': '1392890766669648033', 'global_name': None, 'display_name': None, 'discriminator': '4626', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'roles': ['1392892176215572482'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-10T15:36:13.549002+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '1127944113715691530', 'chunk_index': 0, 'chunk_count': 1}}
[2025-07-10 23:13:30] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 23:13:30] [DEBUG   ] discord.state: Processed a chunk for 3 members in guild ID 1127944113715691530.
[2025-07-10 23:13:32] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-07-10 23:13:32] [DEBUG   ] discord.client: Dispatching event ready
[2025-07-10 23:13:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 4, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-10T16:13:11.553000+00:00', 'pinned': False, 'nonce': '1392901576313536512', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-07-10T12:47:12.915000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1392901479425249281', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!work', 'components': [], 'channel_type': 0, 'channel_id': '1385948445851783209', 'author': {'username': 'hnivel', 'public_flags': 256, 'primary_guild': {'tag': 'codé', 'identity_guild_id': '960713185055375478', 'identity_enabled': True, 'badge': 'dc216d4bf2a43ba052f85d3b2b5144ef'}, 'id': '699438853324537867', 'global_name': 'Hnivel', 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'codé', 'identity_guild_id': '960713185055375478', 'identity_enabled': True, 'badge': 'dc216d4bf2a43ba052f85d3b2b5144ef'}, 'avatar_decoration_data': None, 'avatar': '02643c43483b22d9607632492e6dfa53'}, 'attachments': [], 'guild_id': '1127944113715691530'}}
[2025-07-10 23:13:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 23:13:35] [DEBUG   ] discord.client: Dispatching event message
[2025-07-10 23:13:35] [DEBUG   ] discord.client: Dispatching event command
[2025-07-10 23:13:35] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-07-10T16:13:11.931000+00:00', 'pinned': False, 'nonce': '4057958336797694220', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': ['1392892176215572482'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-07-10T15:36:13.549002+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1392901481010696407', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': 'Please provide the work content. Usage: `!work <your work description>`', 'components': [], 'channel_type': 0, 'channel_id': '1385948445851783209', 'author': {'username': 'Hnivel', 'public_flags': 0, 'primary_guild': None, 'id': '1392890766669648033', 'global_name': None, 'discriminator': '4626', 'collectibles': None, 'clan': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': None}, 'attachments': [], 'guild_id': '1127944113715691530'}}
[2025-07-10 23:13:35] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 23:13:35] [DEBUG   ] discord.client: Dispatching event message
[2025-07-10 23:13:35] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1385948445851783209/messages with {"content":"Please provide the work content. Usage: `!work <your work description>`","components":[],"nonce":"4057958336797694220","enforce_nonce":true,"tts":false} has returned 200
[2025-07-10 23:13:35] [DEBUG   ] discord.http: POST /channels/{channel_id}/messages has found its initial rate limit bucket hash (3df15bae86f6647dd4dfcbd5c6949480).
[2025-07-10 23:13:35] [DEBUG   ] discord.http: POST https://discord.com/api/v10/channels/1385948445851783209/messages has received {'type': 0, 'content': 'Please provide the work content. Usage: `!work <your work description>`', 'mentions': [], 'mention_roles': [], 'attachments': [], 'embeds': [], 'timestamp': '2025-07-10T16:13:11.931000+00:00', 'edited_timestamp': None, 'flags': 0, 'components': [], 'id': '1392901481010696407', 'channel_id': '1385948445851783209', 'author': {'id': '1392890766669648033', 'username': 'Hnivel', 'avatar': None, 'discriminator': '4626', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'pinned': False, 'mention_everyone': False, 'tts': False, 'nonce': '4057958336797694220'}
[2025-07-10 23:13:35] [DEBUG   ] discord.client: Dispatching event command_completion
[2025-07-10 23:13:39] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '699438853324537867', 'timestamp': 1752163995, 'member': {'user': {'username': 'hnivel', 'public_flags': 256, 'primary_guild': {'tag': 'codé', 'identity_guild_id': '960713185055375478', 'identity_enabled': True, 'badge': 'dc216d4bf2a43ba052f85d3b2b5144ef'}, 'id': '699438853324537867', 'global_name': 'Hnivel', 'display_name': 'Hnivel', 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '02643c43483b22d9607632492e6dfa53'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2023-07-10T12:47:12.915000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '1385948445851783209', 'guild_id': '1127944113715691530'}}
[2025-07-10 23:13:39] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-07-10 23:13:39] [DEBUG   ] discord.client: Dispatching event typing
[2025-07-10 23:13:39] [DEBUG   ] discord.client: Dispatching event raw_typing
